user,media,type,gmeet_min,zoom_min,siruntu_min,gmeet_max,zoom_max,siruntu_max,gmeet_mean,zoom_mean,siruntu_mean
viewer_13,webcam,download (kbytes),6.47,0.10,9.11,204.81,482.44,128.88,20.12,35.87,27.28
viewer_13,screen,download (kbytes),0.00,0.00,0.25,167.10,453.83,136.80,16.20,21.29,47.76
viewer_13,webcam,upload (kbytes),1.02,0.10,0.22,76.36,32.08,2.62,2.66,4.27,0.63
viewer_13,screen,upload (kbytes),0.61,0.00,0.11,46.68,32.64,3.93,2.02,1.47,1.46
viewer_14,webcam,download (kbytes),0.00,0.09,4.45,342.25,530.75,129.09,20.49,40.63,27.83
viewer_14,screen,download (kbytes),0.00,0.00,0.27,172.84,477.72,136.71,15.66,21.13,44.53
viewer_14,webcam,upload (kbytes),0.00,0.00,0.22,123.40,25.20,3.49,2.74,4.55,0.66
viewer_14,screen,upload (kbytes),0.57,0.00,0.11,8.26,22.29,3.47,2.02,1.39,1.51
viewer_15,webcam,download (kbytes),0.00,0.00,2.55,117.55,515.24,134.09,19.72,36.01,28.65
viewer_15,screen,download (kbytes),0.00,0.00,0.00,167.70,693.70,157.22,14.75,45.03,48.93
viewer_15,webcam,upload (kbytes),0.00,0.00,0.00,41.77,37.07,2.80,2.59,4.38,0.67
viewer_15,screen,upload (kbytes),0.62,0.00,0.00,6.67,31.96,3.49,1.95,2.63,1.53
